Text,Label
dii ligeschafte schpööter,BE
oder s hilft aim öpper,LU
mit französisch do i ha chli chönne no,BE
aber jedefalls sind sind denn,BS
ich sälber bi döt e paar wenigi mol mit in der mit,BS
daa ìsch da aus ufgfaare di,BE
ich bi döt nie ine schlegerei verwigglet gsi,BS
het er iigmuiret ghaa es miirli gmacht drumume,LU
schpeziel weme den in de zittige so,BS
z weeni kent aus das mi da hät chönne es uurteil biude,BE
und ich ha de dienscht mit volem bewusstsii,ZH
hèt er gsäit göng er dört und dört und dört aane go moole,BS
me hät natülich dänn das naagholt,ZH
ìch wüssti käi zwöite,BS
ùnd s het ùnd die ùnd ìch main dasch ez wider,LU
dänn so wi di andere ggange sind,ZH
ìsch aso nìd esoo as wür mer hǜt,LU
aber soo im chliine chräis schtel ich äifach han ich,ZH
er chäm es uufgebot über in abessiniechrieg,ZH
neaa gaar nüüt,BE
es mues emal e ganzi schwetti handwèrker daa i d schwiiz ine choo sii doozmaal scho also,ZH
das isch also son en karton gsii also vilicht mäin ichs ä nu wils,ZH
mathilde kommn sii maal häär und so witer,BE
und ich mag ich mag mich erinnere,ZH
de het mer,LU
wo sii daa wo da dünkirchen ìsch gsìì u daas als zäme wǜssder,BE
d regruuteschu das ìsch no lùschtig gsìì den,BE
und ich wäis nu das er dehäim gschtorben isch,ZH
was ebe wänn ich cha säge was äim natüülich seer mag und seer verlezt,ZH
si erinnered sich a,LU
das isch miin fääler gsii,ZH
aber ìch glaub er mi grosvatter ìsch nìd der ainzig lozäärner gsii wo,LU
es wäärd,BE
mi isch zimlech rasch zur tagesoornig überggange,BE
nai das ìsch über e chopfhöörer choo,LU
mou mer sind,LU
eso hèèrt gsii isch,ZH
und di elter isch huuswirtschaftsleereri gsii und di jünger isch,ZH
betriibsleiter oder soo he,BE
wo ja läider seer vili seer vili ofiziir,ZH
dänn han ich z bin ich z wintertuur i di komunistisch partei iiträtte,ZH
scheff gsi isch vo de politische polizei,BS
also dän,ZH
chönne anders kamereede zur flucht verhäuffe das das,BE
das häi si genäu gwüsst öisi eltere,BS
het mit de glasi ztue gha dür e vatter,LU
hämmiir bin ich,ZH
simmer emal i die lurettahööchi das isch im noorde vo frankriich,ZH
vo de schtalinischte töted worden isch oder so hm,BS
worum mech go opfere für anderi,LU
den ìsch dezue nò en umbäu choo,BS
aso das ìsch so d iischtèllig gsìì das cha sich niemer laischte,BS
gheert aber äbe wie und de isch me ja hinne und voore nid nachecho,LU
gaar nie siich öppert drum,ZH
und de hei mer natiirlech schöön zueglost und niemer het me gschribe,BE
jede mitwuch wäme frei ghaa hät,ZH
äu bi de prifaatbevölkerig,BS
voo tütschland häär,BS
si nöiji choo nume aus chliis bischpiu bi ja nìd,BE
o näi das hät s doch nie ggää,ZH
ausgesprochen laider gschtoorbe ìsch de au no wèred dem as ìch deet ggsìì bin,LU
zuegeschtanden ùnd de hani gseit de bliibi aageschtelte fèrtig schlùs,LU
flǜchtlingslaager het mer ja ghaa,BE
und bis jeedi kompanii hät dänn no tankbüchse ghaa,ZH
ùnd au de tosganiini,LU
hets de wider echlii fleisch ggää,BE
nume es zämegsezts gsicht ghaa,BE
nanai nanai das het mǜsse ghaim sii,LU
me mües me törf nümme nakt bade,BS
also èèr isch dän zimli tüütschfründlich ä deet uss natüürlich,ZH
daa seig isch oisi behöörde,ZH
die sii wiiter zrugg gsii,BE
ich bi vo drü hohen orte no han i uszaichnige,LU
wil mer z weenig lüt ghaa het,BS
ìsch er wider choo je,BE
ìsch also öise biitraag gsìì,BS
han ìch äifach ggsait ìch wot hai ìch wot hai ich ha langi zit ìch wot hai,LU
jaa so irgendwie,BE
schpeziell über das määrli vo gööte,ZH
das ich mich hauptsächlich vo ernäärt han,ZH
wemmer üüs kampfloos wies das ìsch das ìsch au so e woort gsii,LU
und er isch natürli er hät müe ghaa i de schuel,ZH
ich wäis nume das es natüürli seer wenig butter ggää hät,ZH
wäg em hans wäg em,ZH
faschiste,ZH
und die drööt wo loose si gsi si no deert gsi,BE
und dän händ die gschribe ä wider es schriibe gschikt,ZH
jaa da isch jo klaar das,BS
aber er döf khaini,BS
so i däm schtiil isch das immer ggange,BE
bi de adminischtrazioon,LU
im bezirksgefängnis han i die jaa,ZH
grad fascht e wuche nochär jä,BS
ich ha s doch chöne dureseze aber wi gsäit,ZH
mues nur luegen as nöd wider irgendwo verrisse wirt,LU
de ìsch de wider diskutiirt woorde de hem mir natüürli vǜu mitüberchoo,LU
und jede gränzwächter het o e nummere ghaa i gloub i nummer sächs,BE
jaar zwöiedriissg di ganz die di fridens i glob isch e fridenskonferänz oder i oder irgendöppis gsii,BE
dä isch gange und au,BS
mìr hend si immer mìt ììr immer ììr,LU
das ìsch gsìì warte si jez mol säggsedrissg siibenedrissg achtedrissg nüünedrissg,BS
hanis am mueti gseit seit sii jeesses got,BE
aso daa hämmer esoo,ZH
au maine vo üsne soldaate,LU
u nä won i färtig bi gsii wider nach döörflinge aber nächer,BE
dass so und so vill vo sinen ehemolige schüeler,BS
ùnd nach de feerie bin ìch amig wider deet ufe,LU
das ìsch e ländlerbueb gsii wo siner ziit d franzoose,LU
u mir si ja ou nid diräkt a der gränze gsii me isch immer,BE
maa isch isch isch de vatter de maa het na e brieder ghaa und dee isch im uissland gsii,LU
ggotle gwäsche,BE
und dä isch aber,BE
ig i cha nacher übrigens de ou no e fotto zeige isch oo da in,BE
blind keni ouge me,BE
sind si also aaklagt und müend si ez uussäge,ZH
aber döt het en andere gäischt,LU
zur gränzwacht gmäudet und zum feschtungswachggoor,BE
isch de chrieg cho de het me gwüsst ass e chrieg chunt,LU
und isch natüürli,ZH
und chöme cho luege wis goot z gälterchinde,BS
füfhùndert bis tuused dienschttage wo me gmacht het,BE
die familie chübler isch so,ZH
was das ìsch archeologii und ìsch scho als bueb goo,BS
ha immer echli angscht ghaa,LU
am moorge hei mir chönne gaa in tuun uf ds schloss,BE
än en uusschlussaatraag vo de,ZH
do si si mit de kanoone cho z faare,BS
ja dä cha sich daas scho leischte si vatter isch bundesraat,BE
ziitschrifte gsii us em roote wien,ZH
der fra dokter prichtet,BS
so dass das ebe dä,BS
und da het me di di tüütsche sänder chönne iischteue da het men auso schtutgart het me ghöört,BE
nie miteme zeeche in dr sowjetunion nai,BS
jaa achtedriissg und deert,BE
wo won er de nid wöuen abträte,BE
par taag dänn drei wuche also unngefäär en monet undersuechigshaft,ZH
de friz het är ìsch den z bi de gründigsmitglììder gsìì,BS
total das wär nämech,LU
döt hammir also acht bis zää,BS
däne sii wägeneme ùndersuech ùnd de bìni drei wùche däne ggsìì,LU
wie säit me,BS
das mir das seer lang isch miir das naaggange,ZH
einheitskomandant isch de dä schtändig im dienscht gsii,BE
und ä nachär ich bi dänn i underofiziersschuel,ZH
und moll ebe nodäm si emol aine verwütscht hän,BS
oder ämel seer wenig,ZH
äine het franzöösisch chö̀nne,BS
näi miir händ dèè püürli wunderbaar gfunde,ZH
und am namitaag isch me dänn frei gsii,ZH
win er en aanig gchaa het,LU
äbe i de schtäl ghaa z fasch i auune schtäl z matte hets de ross ghaa,BE
ìsch hei si de daas uf säggs wuchen abetaa wiu daas eifach z lang ìsch gsìì das si vo deheim furt si gsìì die hei sich eifach z fasch entwö̀ö̀nt vo deheime,BE
dòò bliibe ùnd luege as ìch dòò chön hälffe,LU
aber i ha gwüsst wi das ìsch wen de vatter furt goot,BS
dasch übrigens en altegiptischi name,ZH
wo d verröter scho,LU
je öppe zwänzg schtei soo,BE
hät mini grosmueter aso d mueter von miner mueter gsäit,ZH
dur e daag,BS
dò sind jò enòòrm vil flǜchtlinge,BS
intensiiv am schaffe gsii,BE
aber s welo het me pruucht für uf e märit,BE
oder im im im e schuelhuus oder so witer sìì sie iikhwartiirt gsìì,BS
ais chind ghaa ja ja,LU
si vatter ìsch e z lùzäärn ufgwachse,LU
miir üüs i de schwiiz sicher gfüült,BE
und ha no chli gwaartet wider glost,BE
dä het scho mitghulffe ìch main de chrieriseppli ùnd äär sind jò,LU
das ìsch natüürlech au d freihaitsmusig gsii,LU
jojo dä isch jä dä isch dä dä jä är isch nocher verurtailt worde derwäge,BS
jäjo jäjo aidütig aidütig si seen jo aus usere klass vo säggsevierzig,BS
wie wie aso s,BS
isch s wider sowit ou jez mömmer aber vorärts mache,BS
oberscht gsii im dienscht,BE
mier mäitli und mir buebe wänd schaffe und nöd ruebe,ZH
wo nohäär use ch uuschoo ìsch das das e gips,BS
u nää het das der houptme gsee und het,BE
diräggt änedraa tütsche gränze,BS
wo mi zwunge hed welle zwinge,BS
dasch kei fraag me gsìì was passiert he,BE
wi s de gange wär wäiss me ned das isch erschtuunlech,LU
und d poscht wo draa so dingerti isch,BE
as es wede git wo vo paroole,LU
ich ha mir das läider underschezt dänn er hät mir vil vil läid zuetaa,ZH
waas hem mir nie gwǜsst,LU
ha denn nachene won i,LU
wiiterggange daa isch i de ziitig uisgschribe gsii,LU
aus was wältsch sigi das sig also vom vom tüüfu dur daa hani natüürlech durch das es het mìr irgendwie son e,BE
niit,LU
öpis chö̀nne tue äu weme dehäi gsìì ìsch,BS
wi wie s dene gaat deete,ZH
u hei do d englender abegfunket,BE
das hät s gaar nie ggää,ZH
scho zwai nächt im schtrau übernachtet gha ha mit e paar schoffööre zäme,BS
jaa wo au i dem schtiil au i dem schtiil gsii isch,ZH
ìsch de aus angersch aus so schlosser oder oo mechaniker oder was ìsch gsìì,BE
er sait ou sälber es sig jedes medikmänt tüi de maagen echli belaschte,LU
en aträtehait sig gsi dass er zu sim schwizerische kholeg ggange sig,BS
das chönd dò sim mir iez wider schtarch das ìsch üsi schterchi,LU
es wüssed sii wens e schtròòff gsii wäär,LU
weme cha me hèt jò äu,BS
häi si no belöichtig ghaa wäiss nìd waas es das er doch no het chö̀ne zäichne und den ìsch,BS
und dän hämmer immer die gschprääch,ZH
und dänn hät me müese zeersch emaal mümeme schprungbrät,ZH
nachher,BE
militäriuschtiiz die sich nocher mit mir jo äno befasst hed oder so,BS
ebe au sich iibudle und,ZH
in frankriich hei si ne d hoor abgschnitte und,BE
entschtande ich kha das nüme so genau,BS
kärnschtraasschuelhuus,ZH
dra interessiert gsi sin,BS
und da het er aafo abeläse mi gad zeerscht,BE
aber di si o nid am taag choo und z nacht si mer immer,BE
es ganzes jòòr lang dusse gsi i de grundig wärk,LU
nenei einnglech nììd,BE
also die lieder vo der aarbäiterbewegig,ZH
ìsch seer mangelhaft gsì,BS
aber s liit jò nìd a dem de het sìch irgendwie lò blände,LU
es probleem nìt mìr händ aifecht mìesen iirugge glazchöpfig nìt,BS
joo,BE
gmacht im rootschue im gersau oder im immäsee,BS
delegiert woorde i de,ZH
und do si die soldaate sii iigschtiige uf de läiterwaage und si dääwäg,BS
daas ìsch daas jo,BE
hets doo umgschlaage guet ìch wet hǜt ou nümmen esoon e,LU
wänn si miir die freihäit mini mäinigsfreihäit das ich,ZH
wämme müsst flüchten oder in wald,ZH
as me dòò nit aifech gòòt ùnd dä erlediget ùnd de wär alles guet gsii,LU
vilicht oo vom koop häär,BE
mini wo s ghüüratet händ,ZH
ales anderi als militärbegaischtered gsi schpeziell au im hiibligg uf s schtudium nö,BS
churzi passaasche gschribe hät,ZH
gòòpfridschtùz häm miir froid ghaa dass dää zouber fèrtig ggsìì ìsch,LU
nach frik,BE
nai also ich bi erscht,BS
ä karaggterhaltig gha ha gege s militär,BS
si bleiben nicht lange in kriigsgefangenschaft,BE
dummen er hèt ä zwaar das wort nie bruucht nìt die dummen khuuschwaizer,BS
wiu ne daa d schpraachköntniss gfääut hei,BE
aso me isch nöd äifach,ZH
das isch de läseschtoff,LU
und mi frau hed miterläbt,BS
ame debie ghaa mezger oder oder viu pure,BE
het me sich eifach müesse draa gwö̀ne u driischìke u,BE
gäg di tüütsche gsii sind,ZH
ich han a minere wienachtsfiir,ZH
gee gèrn auf di wacht aber nòch viil liiber würde ich wider ainmal maalen,BS
bündnis mit de sowjietunioon verwäigeret händ und nid abgschlosse händ nüüt käi abmachige,ZH
das sii zùm tood veruurtailt woorde sind im gliiche,BS
zwöi zwöi gää,LU
aso das sìnd sache wo aim aifech bliibid,LU
und das häimer,BS
dasch dass e chlii e uslööser gsìì,BE
und da han ich müese goge das sekli vol salz hole das isch nämmli,ZH
und i ha ghöört das me,BE
hed öpper us baasel gäld proocht nach mannhaim,BS
vo simm detaschemänt do,BS
bin i dänn verurtäilt woorde und,ZH
der khöönig der astroloogen in der schwäiz jez sozusaage,BS
aso zimlich formeli,ZH
mììr si döört uufe gange zu däm das ìsch ooberhalb rooteflue,BS
mi het eifacht weme heichoo isch het me immer müese zeersch,BE
mi het i de ziitig gläse,BE
offiziir laager gfüert heid,BE
es het nur raadio gää,LU
het me do grad gmerkt vo wou das isch natürlech,BE
aber das si so sache gsìì oder zum bischpil mììr häi,BS
chönne d schwiiz as haimet,LU
e chratte biire hèiträäge das ìsch alles ggsìì woni gha han weni de ganz taag gschaffet ha,LU
mi het das ganz vergässe me isch eifacht,BE
sind s grad sibzig joor här,BS
aabe am zäni si gsii,BE
het mer müesse s pünteli phaken und sis broot verdiene,LU
um d eggsischtänz aso da mus ich säge,ZH
gsee i dene biuder vo dene chriegsbiuder doo,BE
mhm zi,ZH
bivoor dr chrieg uspròche ìsch sim mìr,BS
so so heft he und das het iidruk gmacht me hend jò kai ärfaarig gcha nüd,LU
aarbäitsloosenunderschtüzig händ müese lange für di sibechöpfig familie,ZH
ich bi au inere zionischtische jugendorganisazioon gsii,ZH
nur umegraabe das hemmer nìd müsse wil aso das ìsch umegacheret woorde,LU
wìchtig isch deet äfech gsii plö̀zlìch hets ghaisse ez mus mer en eggstraschtüür zaale,LU
i d regruuteschùu nächscht wuche auuwe oder soo oder oder ǜbernäächscht,BE
echli kontakt ha ghaa no,BE
sodas ich näbezue ha chöne,ZH
woo siner ziit dr ganzi eerschti wältggrieg scho dienscht gmacht hèt,BS
si chönid nìd deet unden ine das,LU
ùnd de wen si de die hend de armbìndene ghaa,LU
unger het s echli usegluegt,BE
wil aifach das bruefsmilitèèr ìsch sich bewusst woorde,BS
us guetem hend welle us hìlf für d schwiiz,LU
woo äigentlich äim an chrieg gmaant häi wüsse sii,BS
zwölfi gsii und miin brüeder,ZH
ei artikeu isch mer i sinn,BE
di andere si scho gsässen aui und es isch aues scho psezt gsii,BE
ghüraate und da hei mer si ganz gaarte müesse,BE
die trö̀ö̀t ggseeni hüt nò root lüüchte,LU
dä isch o scho,BE
macht mer alles zue am oobig oder nììd,LU
köit häi,BS
aso zur uusheebig goo das ìsch en unterschììd zu hütte nìt ooder äu zu vòòr em chrieg,BS
und si hei o ds gliiche gseit schlächts ässe,BE
ùnd den ìsch er wider uufpouet woorde do simmer wider deet hìì choo,LU
nìt gège truppeverbänd,BS
was däne lauft und natürlig au i der zitigen und,BS
chueche ggää het me het aifach e so rundi blääch sinds gsii,LU
uf nummer drüühundertvieredriissg,BE
vo vo vo basel unde,LU
ich bi det,BS
ich ha däm aglüte wüumer so au haub jòòr hämmer immer öppen ä kontakt,LU
u u nächher ìsch äbe da,BE
ilegalem material in s wiisetaal,BS
go pfuuse heh esoo,BE
dän hät dè das gleert und ich bin schtolz gsii das min,ZH
nai dò mag mi aigentlich nìt draa erinnere das ìsch,BS
i i hät se auso nid söuen aahalte aber do han i ja daas nid gwüsst,BE
ja ja also zum bischpiil hämmer s mööslilied ghaa,ZH
gäled si mi händ zum biischpil,ZH
si chönd sich tänke das mir nüme eson e ganz e guets veheltnis mitenand ghaa händ,ZH
wär den no bi öis bi mim maa,BS
joo dò mag ich mi erinnere jò,BS
und dene bin ìch dört acht moonet gsìì,BS
ùnd er haig miesse mit em welo gaa er haig nid tèrffen eppe mit em,LU
und soo das isch so di schtimmig gsi,BE
dasch natürlech es volwärtigs mittu gsii,LU
u irgend ufene wääg han ii,BE
dasch no vor em chrieg ggsìì,LU
ja oder d fründine das chan ich nöd säge,ZH
und al min maa het chöne go schaffe und het chöne go zäichnen und chöne daas mache,BS
da isch jo e liäbe proteschtant gsi oder,BS
dä wil ich äbe s gfǜǜl ghaa ha dä mǜs ììch go umbrìnge,LU
u mis mueti het,BE
es isch esoo schöön am hang a,BE
klaar sii,ZH
und wils het jo de wemmers öppe einisch hie und daa het me den,BE
mùs vìlecht no voruus schìke,LU
daa han ich aso gwüsst da hämer aso,ZH
hèt seer gueti bezijige gha wältwit nìt,BS
wander ezeteraa di das het me eersch nächheer,BE
sig es britischi oder amerikhaanischi bomber über d schwiz und s passieri nüt,BS
vo däre mission meer oder weeniger hm,BS
also häi mir beziejig ghaa dezue seer noochi beziejig wägedäm häi mir aso,BS
irgendwie vetäilt sich das,ZH
das me da säit ja ez gaat mer also in das ungewisse,ZH
die sind nattüürli dän uf dène bänkli umeghokt,ZH
als schwiizer gfüült,ZH
jajaa im im,BE
en öpfu esoo,LU
die hend is alig scho verzeut mer het de wider das züüg wider echli vergässe aber die hend scho schwääri ziite ghaa,LU
de ängländer de bibisii wǜu dä au tüütsch gredt het,LU
näi au in zürich au in zürich ja jaa,ZH
oder für d aijer hesch läbesmitelgupò̃ò̃ pruucht,LU
sache wo mer mǜssti berüksichtige vo de säbe ziit das ìsch äbe di,LU
döt hemmer de tipp wider über gcha,LU
de hei mer e leerer ghaa,BE
han ìch nìd s gfǜu gha das sìg ǜberzüügig fǜr öppis guets,LU
aso s isch d chinderorganisazioon gsii deet vo de schpanische sozialistische juged,ZH
wi söu i säge,BE
u drei taag scharffe ǜberchoo das sii eifacht no so,BE
han äigentlich en schreken überchoo da daas chani scho säge,ZH
das han ìch aifecht nie,LU
s wüürd also z wiit füere,ZH
woo d ängländer ganz,BS
echli druf iigschteut gsii,BE
fremdi oder oder das het ǜberhoupt kener gescht und nüt ìsch fertig gsìì ìsch,BE
militèèrischi uusbildig isch äu im viereviirzgi,ZH
aber das ìsch aso baasel hät me nìt chöne heebe,BS
jä fremdelegioon gsìì,BS
ùnd den het me ghöört wie de mussoliini,LU
das hät überhäupt nöd,ZH
aber s ìsch immer nò gangen i ha immer nò chönne louffe bìs bìs iez do de letscht,LU
nie tuschet worum het mer jez das nìd chönne organisiere,BE
und äine het em falsche momänt,LU
isch me natürlig scho e bizli nümm,BS
drùm folgid die aber vo de tüüschte soldaate han ìch nìd begrìffe,LU
aber wämer so jung isch no,ZH
händ scho jò main hütte,BS
wo me eerscht mit nüunze gganngen ìsch nìt,BS
aber ich hans au,ZH
ììri dänz ufgfüürt do häimer aso verschììdeni,BS
ùnd si säged er müss det unden ine choo sii er,LU
ja ebe ich seg komunischt han i gsäit näi losed si ich bi nid komunischt,ZH
praktisch leereruusbildig gmacht ha deet im hirschegrabeschuelhuus,ZH
ìsch hütten e,BS
isch s im de bewusst gsi me eigenlech rächnigsschtung hei,BE
weme abglööst isch isch me esoo hei das me möglichscht,BE
öber de guet rapportiert het,LU
glaub öppen e halb dozet jä,BS
de iidruk wo me daa ghaa hät und,ZH
dò hèt me so bizli sandsegg im züüg inne ghaa ùnd,BS
rütle das me die pfööl inegschlage hät,ZH
ìsch de natüürli verphöönt gsii,LU
oberscht höön und so witer,BS
wär vo de regierigsröt au,BS
weenig aber miini eltere sìnd ìmmer ggange au öppen e mòl uf zǜri,LU
bis mir hend s de ändlech emol däm,LU
da hemmer natürli scho e wuet übercho wi de glich,LU
ùnd dò ìsch nìt gmuurt woorde khoomischer wiis,BS
dä isch aber bim britische käimdienscht gsi,LU
das ez die truppe,BE
und es isch soo gsii das me da,ZH
ou näi wie hät er ghäisse jaa,ZH
liechti schwääri maschinegweer,BE
jedi göbelsreed ghöört jedi frikreed reed ghöört,ZH
nachär han ich nur no glägehäit ghaa d erzieigsdirekzioon echli a d bande z truke,ZH
nei mit dene isch mer immer guet uuschoo,BE
und das züüg aus das fürchterleche,BE
nachtalarm ghaa wüsse sii dr alarm wens alarm gee het het si müese uuslööse oder soo,BS
und me mir häi,BS
schtrou u nüt drunder he,BE
aber hei gseit ou gööt nume isch ir oornig,BE
das isch die hundertfüfzg jaar,LU
und ab em achzääten altersjoor,BS
was hani e hufe sache gmacht aber aini vo däne,BS
ùnd händne laaborbläz gää biischpilswiis in baasel,BS
die ainte sìnd de hüt mus me säge tùmmerwiis wiiter nòch frankriich,LU
e tüütsche der,LU
de pawaart pawi het mer dem gseit uf bäärndüütsch,BE
i deert im i de garteschtat,BE
im wìnter das ìsch de chalte wìnter ggsìì,LU
jedefalls hemmer also jede immer,BS
das het s bi mir natürli ned ggää,BS
m und aus bereitgschteut,BE
u näher bin i äbe nach,BE
echli schpööter ä soo siini,ZH
tütschi gränzgmei uf üser site isch s,BE
ond der döt bin ich,BS
ùnd mit sine brofezeijige in main khampf hèt chöne zaige,BS
und gueti uifsäz schrììbe,LU
ùnd das sind also g dää hèt nadüürlìch,BS
